,Borehole,UBHI(NOPIMS),State,Basin,Sub-basin,Latitude,Longitude,Title,Operator,Rigs
0,Plover 2,ENO0014881,WA,Bonaparte/Northern Bonaparte,Petrel Sub-basin,-12.956669,126.175695,WA-16-P,ARCO,Margie
1,Whimbrel 1,ENO0016958,WA,Bonaparte,Londonderry High,-12.4813953,125.3793088,WA-15-P,ARCO,Margie
2,Plover 1,ENO0014880,WA,Bonaparte/Northern Bonaparte,Londonderry High/Petrel Sub-basin,-12.711113,126.369859,WA-16-P,ARCO,Sedco 135G
